stint_id,player_id,real_name,country,current_team,player_status,stint_number,total_stints,team,date_start,date_end,date_range,stint_status,is_current_team,duration_days,year_start,year_end,roles,player_url
32,Akio,Emil Tichit,France,Colors Esport,Active,1,2,MGA Esport,2025-04-10,2025-05-24,2025-04-10 — 2025-05-24,Active,False,44,2025,2025,[],https://liquipedia.net/valorant/Akio
33,Akio,Emil Tichit,France,Colors Esport,Active,2,2,Colors Esport,2025-05-26,2026-01-23,2025-05-26 — 2026-01-23,Active,False,242,2025,2026,[],https://liquipedia.net/valorant/Akio
34,Akita,Esllene Xu,France,G2 Gozen,Active,1,4,Cicadas Krew,2024-01-24,2024-04-12,2024-01-24 — 2024-04-12,Active,False,79,2024,2024,[],https://liquipedia.net/valorant/Akita
35,Akita,Esllene Xu,France,G2 Gozen,Active,2,4,F9 Wonders,2024-04-19,2024-07-04,2024-04-19 — 2024-07-04,Active,False,76,2024,2024,[],https://liquipedia.net/valorant/Akita
36,Akita,Esllene Xu,France,G2 Gozen,Active,3,4,ZERANCE MINT,2024-07-06,2025-04-28,2024-07-06 — 2025-04-28,Active,False,296,2024,2025,[],https://liquipedia.net/valorant/Akita
37,Akita,Esllene Xu,France,G2 Gozen,Active,4,4,G2 Gozen,2025-04-28,Present,2025-04-28 —Present,Active,True,290,2025,2026,[],https://liquipedia.net/valorant/Akita
38,Alikea,Alicia Boina,France,GODSENT IRIS,Active,1,1,GODSENT IRIS,2020-05-07,Present,2020-05-07 —Present,Active,True,2107,2020,2026,[],https://liquipedia.net/valorant/Alikea
39,BaWaN,Loic Martello,France,,Active,1,3,beGenius ESC,2022-02-11,2022-12-08,2022-02-11 — 2022-12-08,Active,False,300,2022,2022,[],https://liquipedia.net/valorant/BaWaN
40,BaWaN,Loic Martello,France,,Active,2,3,3DMAX,2023-04-03,2023-09-18,2023-04-03 — 2023-09-18,Coach,False,168,2023,2023,[],https://liquipedia.net/valorant/BaWaN
41,BaWaN,Loic Martello,France,,Active,3,3,3DMAX,2023-09-18,2023-11-30,2023-09-18 — 2023-11-30,Active,False,73,2023,2023,[],https://liquipedia.net/valorant/BaWaN
42,Babax,Baptiste Bertrand,France,ToDoBew,Active,1,5,ZERANCE,2022-09-04,,2022-??-?? — 2022-09-04,Active,False,0,2022,2026,[],https://liquipedia.net/valorant/Babax
