transition_id,player_id,real_name,country,from_team,to_team,from_stint_status,to_stint_status,transition_date,transition_year,from_duration_days,stint_number
62,DarkLight,Lucas Rossetto,France,Bakim Corp,Solary,Active,Active,2024-05-09,2024,113,4
63,Dawn,Tristan Bornet,France,Exceptis,Project SW,Active,Active,2020-08-04,2020,0,1
64,Dawn,Tristan Bornet,France,Project SW,CGN Esports,Active,Active,2021-01-17,2021,78,2
65,Dawn,Tristan Bornet,France,CGN Esports,WYLDE,Active,Active,2022-02-11,2022,29,3
66,Dawn,Tristan Bornet,France,WYLDE,WYLDE,Active,Inactive,2022-04-15,2022,63,4
67,Dawn,Tristan Bornet,France,WYLDE,WYLDE,Inactive,Active,2022-05-05,2022,20,5
68,Dawn,Tristan Bornet,France,WYLDE,3DMAX,Active,Active,2023-01-10,2023,95,6
69,Dawn,Tristan Bornet,France,3DMAX,3DMAX,Active,Inactive,2023-02-22,2023,43,7
70,Dawn,Tristan Bornet,France,3DMAX,B8 Esports,Inactive,Active,2023-03-31,2023,37,8
71,Dawn,Tristan Bornet,France,B8 Esports,B8,Active,Stand-in,2024-02-19,2024,71,9
72,Enzo,Enzo Mestari,France,HypHypHyp,Ninjas in Pyjamas,Active,Active,2020-07-14,2020,80,1
73,Enzo,Enzo Mestari,France,Ninjas in Pyjamas,NiP,Active,Inactive,2020-09-17,2020,65,2
74,Enzo,Enzo Mestari,France,NiP,Alliance,Inactive,Active,2021-01-28,2021,33,3
75,Enzo,Enzo Mestari,France,Alliance,ALL,Active,Inactive,2022-03-31,2022,427,4
76,Enzo,Enzo Mestari,France,ALL,›Fnatic,Inactive,Loan,2022-03-31,2022,32,5
77,Enzo,Enzo Mestari,France,›Fnatic,Fnatic,Loan,Active,2022-05-09,2022,39,6
78,Enzo,Enzo Mestari,France,Fnatic,Fnatic,Active,Inactive,2022-09-22,2022,136,7
79,Enzo,Enzo Mestari,France,Fnatic,Apeks,Inactive,Active,2023-01-10,2023,69,8
80,Enzo,Enzo Mestari,France,Apeks,Team Liquid,Active,Active,2023-11-04,2023,296,9
81,Enzo,Enzo Mestari,France,Team Liquid,TL,Active,Inactive,2024-08-30,2024,300,10
82,Enzo,Enzo Mestari,France,TL,Mandatory,Inactive,Active,2024-12-20,2024,55,11
83,Enzo,Enzo Mestari,France,Mandatory,Joblife,Active,Active,2025-11-26,2025,341,12
84,FLORA,,France,HUGE Esports,F9 Wonders,Active,Active,2024-06-14,2024,42,1
85,Flaring,Henri Forichon,France,Louvre,Bleed eSports,Active,Active,2022-01-04,2022,22,1
86,Flaring,Henri Forichon,France,Bleed eSports,KPMOONIIBLM9,Active,Active,2022-04-30,2022,83,2
87,Flaring,Henri Forichon,France,KPMOONIIBLM9,BearClaw Gaming,Active,Active,2022-05-20,2022,20,3
88,Flaring,Henri Forichon,France,BearClaw Gaming,Kizuna Esports,Active,Active,2022-12-05,2022,87,4
89,Flaring,Henri Forichon,France,Kizuna Esports,AE,Active,Stand-in,2023-11-17,2023,181,5
90,Flaring,Henri Forichon,France,AE,Elevate,Stand-in,Active,2024-06-02,2024,17,6
91,Flaring,Henri Forichon,France,Elevate,Xipto Esports,Active,Active,2025-01-01,2025,50,7
92,Flaring,Henri Forichon,France,Xipto Esports,Motiv Esports,Active,Active,2025-04-02,2025,45,8
93,Flaring,Henri Forichon,France,Motiv Esports,Motiv Esports,Active,Active,2026-01-31,2026,216,9
94,GatsH,Guillaume Kalka,France,ROG Esport,SIGN US,Active,Active,2020-12-28,2020,129,1
95,GatsH,Guillaume Kalka,France,SIGN US,Edelweiss Esports,Active,Active,2021-02-04,2021,38,2
96,GatsH,Guillaume Kalka,France,Edelweiss Esports,Team BDS,Active,Active,2021-07-20,2021,166,3
97,GatsH,Guillaume Kalka,France,Team BDS,Rebels Gaming,Active,Active,2022-01-12,2022,92,4
98,GatsH,Guillaume Kalka,France,Rebels Gaming,RBLS,Active,Inactive,2022-10-24,2022,285,5
99,GatsH,Guillaume Kalka,France,RBLS,Rebels Gaming,Inactive,Active,2022-12-28,2022,65,6
100,GatsH,Guillaume Kalka,France,Rebels Gaming,Case Esports,Active,Active,2024-02-04,2024,166,7
101,Goaster,Tony Richard,France,Megakich,Megastitut,Active,Active,2021-05-06,2021,103,1
102,Goaster,Tony Richard,France,Megastitut,Last Dance,Active,Active,2021-10-18,2021,165,2
103,Goaster,Tony Richard,France,Last Dance,Sector One,Active,Active,2022-02-06,2022,0,3
104,Goaster,Tony Richard,France,Sector One,Mandatory,Active,Active,2022-04-11,2022,64,4
105,Goaster,Tony Richard,France,Mandatory,Valiant,Active,Active,2025-01-08,2025,894,5
106,Goaster,Tony Richard,France,Valiant,ZERANCE,Active,Active,2025-03-13,2025,56,6
107,Goaster,Tony Richard,France,ZERANCE,Nuxeria Esport,Active,Active,2025-10-30,2025,57,7
108,Goaster,Tony Richard,France,Nuxeria Esport,Colors Esport,Active,Active,2026-01-23,2026,85,8
